sequence,Task1,Task2,Task3,Task4,Task5
"(3, 1, 2, 4, 0)",99.90543735224587,89.71596474045054,65.10138740661687,97.12990936555892,94.95713565305093
"(3, 1, 4, 0, 2)",94.60992907801419,85.50440744368267,99.89327641408751,61.581067472306145,47.30206757438225
"(3, 1, 4, 2, 0)",99.95271867612293,84.37806072477963,96.05122732123799,87.71399798590132,50.277357539082196
"(3, 2, 0, 1, 4)",48.51063829787234,97.60039177277179,68.03628601921025,92.29607250755286,99.14271306101865
"(3, 2, 0, 4, 1)",58.77068557919622,99.55925563173359,82.17716115261473,90.78549848942598,97.02471003530005
"(3, 2, 1, 0, 4)",85.95744680851064,96.22918707149853,50.69370330843116,95.8207452165156,99.04185577407968
"(3, 2, 1, 4, 0)",99.90543735224587,86.77766895200783,51.013874066168626,98.13695871097684,96.06656580937972
"(3, 2, 4, 0, 1)",98.58156028368795,99.65719882468169,81.69690501600854,92.84994964753272,94.65456379223399
"(3, 2, 4, 1, 0)",99.95271867612293,90.05876591576886,76.78762006403416,92.84994964753272,73.72667675239536
"(3, 4, 0, 1, 2)",30.023640661938533,95.5435847208619,100.0,73.81671701913393,44.67977811396874
"(3, 4, 0, 2, 1)",64.16075650118204,99.60822722820764,98.3991462113127,81.36958710976837,85.4261220373172
"(3, 4, 1, 0, 2)",83.82978723404256,88.73653281096963,99.89327641408751,64.7532729103726,38.3761976802824
"(3, 4, 1, 2, 0)",99.95271867612293,78.55044074436826,95.94450373532551,68.52970795568983,27.13061018658598
"(3, 4, 2, 0, 1)",98.91252955082743,99.60822722820764,98.55923159018143,84.64249748237664,79.57639939485628
"(3, 4, 2, 1, 0)",100.0,92.99706170421156,86.39274279615795,78.65055387713998,59.10237014624307
"(4, 0, 1, 2, 3)",66.33569739952719,93.33986287952987,94.98399146211312,99.8489425981873,85.52697932425617
"(4, 0, 1, 3, 2)",21.513002364066192,73.65328109696377,99.94663820704376,90.93655589123867,50.73121533030761
"(4, 0, 2, 1, 3)",88.74704491725768,95.78844270323212,72.57203842049093,99.8489425981873,80.83711548159354
"(4, 0, 2, 3, 1)",61.843971631205676,99.55925563173359,92.10245464247599,94.6122860020141,93.94856278366112
"(4, 0, 3, 1, 2)",25.106382978723403,94.80901077375123,100.0,58.1067472306143,62.934947049924354
"(4, 0, 3, 2, 1)",54.46808510638298,99.60822722820764,98.93276414087514,82.82980866062437,84.11497730711044
"(4, 1, 0, 2, 3)",86.7612293144208,90.49951028403525,95.89114194236926,99.8992950654582,83.91326273323247
"(4, 1, 0, 3, 2)",31.678486997635932,76.54260528893242,99.94663820704376,91.28902316213494,60.86737266767524
"(4, 1, 2, 0, 3)",96.8321513002364,91.72380019588638,70.91782283884739,99.8489425981873,83.45940494200705
"(4, 1, 2, 3, 0)",99.90543735224587,81.14593535749266,76.57417289220918,98.79154078549848,78.36611195158851
"(4, 1, 3, 0, 2)",70.02364066193853,85.60235063663076,99.89327641408751,76.23363544813697,57.18608169440242
"(4, 1, 3, 2, 0)",99.95271867612293,77.7179236043095,96.7982924226254,87.46223564954683,55.47150781643974
"(4, 2, 0, 1, 3)",85.72104018912529,97.20861900097943,86.7129135538954,99.79859013091641,88.0988401412002
"(4, 2, 0, 3, 1)",68.51063829787235,99.41234084231147,87.78014941302028,94.96475327291037,91.42713061018658
"(4, 2, 1, 0, 3)",97.87234042553192,91.03819784524975,59.39167556029883,99.8489425981873,87.5441250630358
"(4, 2, 1, 3, 0)",99.90543735224587,85.25954946131245,74.65314834578442,99.24471299093656,83.91326273323247
"(4, 2, 3, 0, 1)",96.73758865248227,99.60822722820764,88.47385272145144,91.74219536757302,91.17498739283913
"(4, 2, 3, 1, 0)",99.95271867612293,96.57198824681684,85.91248665955176,92.64853977844915,81.49268784669692
"(4, 3, 0, 1, 2)",18.912529550827422,95.83741429970617,99.94663820704376,54.12890231621349,41.704488149268784
"(4, 3, 0, 2, 1)",66.19385342789599,99.60822722820764,98.3991462113127,71.19838872104734,80.28240040342915
"(4, 3, 1, 0, 2)",85.29550827423168,91.96865817825662,99.83991462113127,46.22356495468278,44.42763489662128
"(4, 3, 1, 2, 0)",99.95271867612293,86.43486777668952,95.1974386339381,73.16213494461229,54.311649016641454
"(4, 3, 2, 0, 1)",98.15602836879432,99.51028403525955,94.87726787620063,84.84390735146022,79.22339889056984
"(4, 3, 2, 1, 0)",99.8581560283688,94.76003917727718,86.8196371398079,85.80060422960725,78.416540595058
