sequence,Task1,Task2,Task3,Task4,Task5
"(1, 2, 4, 0, 3)",99.55925563173359,99.51974386339381,97.96690307328605,93.24256177508825,85.80060422960725
"(1, 2, 4, 3, 0)",99.60822722820764,99.41302027748132,92.54783484390735,94.0494200706001,95.27186761229315
"(1, 3, 0, 2, 4)",99.60822722820764,99.34541792547834,98.95981087470449,94.66382070437567,94.80584972264246
"(1, 3, 0, 4, 2)",99.80411361410383,99.49647532729104,98.72340425531915,98.18456883509833,72.73212379935966
"(1, 3, 2, 0, 4)",99.60822722820764,99.34541792547834,98.95981087470449,94.66382070437567,94.80584972264246
"(1, 3, 2, 4, 0)",99.75514201762978,99.59718026183283,90.60832443970118,97.57942511346445,91.4420803782506
"(1, 3, 4, 0, 2)",99.80411361410383,99.49647532729104,98.72340425531915,98.18456883509833,72.73212379935966
"(1, 3, 4, 2, 0)",99.75514201762978,99.59718026183283,90.60832443970118,97.57942511346445,91.4420803782506
"(1, 4, 0, 2, 3)",99.80411361410383,99.54614220877458,98.4869976359338,94.23692636072572,97.58308157099698
"(1, 4, 0, 3, 2)",99.51028403525955,99.64699949571356,99.14893617021276,98.38872104733132,66.54215581643543
"(1, 4, 2, 0, 3)",99.80411361410383,99.54614220877458,98.4869976359338,94.23692636072572,97.58308157099698
"(1, 4, 2, 3, 0)",99.60822722820764,99.54614220877458,89.59445037353255,98.6908358509567,96.21749408983452
"(1, 4, 3, 0, 2)",99.51028403525955,99.64699949571356,99.14893617021276,98.38872104733132,66.54215581643543
"(1, 4, 3, 2, 0)",99.60822722820764,99.54614220877458,89.59445037353255,98.6908358509567,96.21749408983452
"(2, 0, 1, 3, 4)",99.71631205673759,99.94663820704376,98.0411361410382,97.48237663645519,82.09783156833082
"(2, 0, 1, 4, 3)",99.71631205673759,99.94663820704376,96.81684622918708,89.15784165405951,93.40382678751259
"(2, 0, 3, 1, 4)",99.71631205673759,99.94663820704376,98.0411361410382,97.48237663645519,82.09783156833082
"(2, 0, 3, 4, 1)",99.71631205673759,99.83991462113127,94.00805639476334,90.36812909732728,89.17727717923604
"(2, 0, 4, 1, 3)",99.71631205673759,99.94663820704376,96.81684622918708,89.15784165405951,93.40382678751259
"(2, 0, 4, 3, 1)",99.71631205673759,99.83991462113127,94.00805639476334,90.36812909732728,89.17727717923604
"(2, 1, 0, 3, 4)",99.41234084231147,99.83991462113127,98.43971631205673,95.56898288016113,82.24911749873928
"(2, 1, 0, 4, 3)",99.55925563173359,99.51974386339381,97.96690307328605,93.24256177508825,85.80060422960725
"(2, 1, 3, 0, 4)",99.41234084231147,99.83991462113127,98.43971631205673,95.56898288016113,82.24911749873928
"(2, 1, 3, 4, 0)",99.60822722820764,99.41302027748132,92.54783484390735,94.0494200706001,95.27186761229315
"(2, 1, 4, 0, 3)",99.55925563173359,99.51974386339381,97.96690307328605,93.24256177508825,85.80060422960725
"(2, 1, 4, 3, 0)",99.60822722820764,99.41302027748132,92.54783484390735,94.0494200706001,95.27186761229315
"(2, 3, 0, 1, 4)",99.35965848452508,99.9496475327291,97.02127659574468,95.5435847208619,85.67826525466465
"(2, 3, 0, 4, 1)",99.51974386339381,99.9496475327291,96.21749408983452,94.80584972264246,85.35749265426053
"(2, 3, 1, 0, 4)",99.35965848452508,99.9496475327291,97.02127659574468,95.5435847208619,85.67826525466465
"(2, 3, 1, 4, 0)",99.46638207043756,99.8489425981873,92.85014691478942,94.15027735753908,86.7612293144208
"(2, 3, 4, 0, 1)",99.51974386339381,99.9496475327291,96.21749408983452,94.80584972264246,85.35749265426053
"(2, 3, 4, 1, 0)",99.46638207043756,99.8489425981873,92.85014691478942,94.15027735753908,86.7612293144208
