sequence,Task1,Task2,Task3,Task4,Task5
"(2, 0, 1, 3, 4)",98.15602836879432,99.0205680705191,95.51760939167556,98.7411883182276,99.3948562783661
"(2, 0, 1, 4, 3)",98.72340425531915,97.79627815866797,96.47812166488794,99.8489425981873,98.53756933938477
"(2, 0, 3, 1, 4)",96.21749408983452,99.16748285994123,96.69156883671292,98.28801611278952,99.19314170448816
"(2, 0, 3, 4, 1)",99.24349881796691,99.65719882468169,97.38527214514407,97.18026183282981,97.37771053958649
"(2, 0, 4, 1, 3)",98.43971631205673,97.89422135161607,97.1718249733191,99.8489425981873,97.68028240040343
"(2, 0, 4, 3, 1)",98.4869976359338,99.70617042115573,98.50586979722519,98.38872104733132,98.23499747856782
"(2, 1, 0, 3, 4)",98.72340425531915,99.26542605288932,92.8495197438634,98.89224572004028,99.54614220877458
"(2, 1, 0, 4, 3)",98.86524822695036,97.45347698334966,95.73105656350053,99.8489425981873,98.58799798285426
"(2, 1, 3, 0, 4)",98.67612293144208,98.62879529872674,94.8239060832444,99.09365558912387,99.64699949571356
"(2, 1, 3, 4, 0)",99.95271867612293,98.28599412340843,96.21131270010672,99.14400805639477,98.53756933938477
"(2, 1, 4, 0, 3)",99.33806146572104,96.91478942213516,96.74493062966916,99.79859013091641,98.53756933938477
"(2, 1, 4, 3, 0)",99.95271867612293,98.0411361410382,96.90501600853788,99.49647532729104,98.23499747856782
"(2, 3, 0, 1, 4)",98.25059101654847,99.41234084231147,96.85165421558165,98.53977844914401,99.64699949571356
"(2, 3, 0, 4, 1)",99.43262411347517,99.55925563173359,98.025613660619,98.89224572004028,97.78113968734242
"(2, 3, 1, 0, 4)",98.0614657210402,99.41234084231147,96.31803628601921,97.58308157099698,99.4957135653051
"(2, 3, 1, 4, 0)",99.95271867612293,97.25759059745347,97.70544290288154,98.94259818731118,98.73928391326274
"(2, 3, 4, 0, 1)",99.57446808510639,99.75514201762978,98.55923159018143,97.68378650553878,98.68885526979324
"(2, 3, 4, 1, 0)",99.95271867612293,98.82468168462292,97.5453575240128,99.09365558912387,97.73071104387292
"(2, 4, 0, 1, 3)",99.14893617021276,97.79627815866797,97.22518676627534,99.79859013091641,97.47856782652546
"(2, 4, 0, 3, 1)",99.52718676122932,99.75514201762978,97.1718249733191,98.6404833836858,97.57942511346445
"(2, 4, 1, 0, 3)",98.86524822695036,98.18805093046034,97.1718249733191,99.79859013091641,96.7221381744831
"(2, 4, 1, 3, 0)",99.95271867612293,98.18805093046034,97.5453575240128,99.59718026183283,98.08371154815936
