sequence,Task1,Task2,Task3,Task4,Task5
"(1, 3, 0, 2, 4)",97.45347698334966,97.88519637462235,98.0614657210402,95.46424759871931,99.34442763489662
"(1, 3, 0, 4, 2)",96.37610186092067,95.51863041289023,98.01418439716312,96.31870902672718,99.89327641408751
"(1, 3, 2, 0, 4)",96.71890303623898,98.23766364551864,93.86339381003202,99.38534278959811,99.44528492183561
"(1, 3, 2, 4, 0)",95.29872673849168,98.13695871097684,93.27641408751334,98.99142713061019,99.95271867612293
"(1, 3, 4, 0, 2)",97.15964740450539,97.23061430010071,93.44427634896621,99.38534278959811,99.78655282817503
"(1, 3, 4, 2, 0)",94.66209598432908,98.48942598187311,95.91527987897126,98.82604055496265,99.90543735224587
"(1, 4, 0, 2, 3)",93.82957884427033,96.7725668179526,99.14893617021276,97.86552828175027,99.8489425981873
"(1, 4, 0, 3, 2)",95.98432908912831,93.69641956631366,98.72340425531915,98.13695871097684,99.89327641408751
"(1, 4, 2, 0, 3)",94.66209598432908,96.7725668179526,96.15795090715048,99.29078014184397,99.79859013091641
"(1, 4, 2, 3, 0)",96.27815866797258,96.41956631366617,97.38527214514407,99.54682779456193,99.95271867612293
"(1, 4, 3, 0, 2)",98.09010773751224,94.15027735753908,96.87814702920443,99.29078014184397,99.83991462113127
"(1, 4, 3, 2, 0)",95.83741429970617,96.11699445284921,98.84189325276938,98.34578441835646,99.90543735224587
"(2, 0, 1, 3, 4)",88.95410885805764,98.4869976359338,98.28599412340843,98.94259818731118,99.4957135653051
"(2, 0, 1, 4, 3)",88.47385272145144,98.58156028368795,97.0617042115573,98.68885526979324,99.79859013091641
"(2, 0, 3, 1, 4)",86.60618996798293,97.54137115839244,97.93554884189325,99.21645445641528,99.3948562783661
"(2, 0, 3, 4, 1)",93.11632870864462,98.4869976359338,98.38872104733132,98.53756933938477,99.75514201762978
"(2, 0, 4, 1, 3)",91.46211312700106,99.05437352245863,97.73071104387292,98.72673849167482,99.79859013091641
"(2, 0, 4, 3, 1)",91.19530416221986,98.95981087470449,98.18456883509833,98.38872104733132,99.65719882468169
"(2, 1, 0, 3, 4)",87.03308431163288,97.40450538687561,98.86524822695036,99.04330312185297,99.54614220877458
"(2, 1, 0, 4, 3)",88.26040554962647,95.29872673849168,98.67612293144208,98.43671205244578,99.8489425981873
"(2, 1, 3, 0, 4)",88.47385272145144,97.11067580803135,98.99295065458207,99.33806146572104,99.64699949571356
"(2, 1, 3, 4, 0)",87.13980789754535,97.25759059745347,98.99295065458207,98.68885526979324,99.95271867612293
"(2, 1, 4, 0, 3)",89.2742796157951,96.42507345739472,97.8315683308119,99.62174940898345,99.69788519637463
"(2, 1, 4, 3, 0)",90.98185699039487,96.91478942213516,98.23499747856782,99.44612286002014,99.95271867612293
"(2, 3, 0, 1, 4)",89.22091782283884,97.07955689828802,98.53427895981088,99.21645445641528,99.54614220877458
"(2, 3, 0, 4, 1)",90.87513340448238,98.33836858006042,99.52718676122932,98.28542612203732,99.60822722820764
"(2, 3, 1, 0, 4)",85.27214514407684,97.38167170191339,98.67776689520079,99.00709219858156,99.69742813918306
"(2, 3, 1, 4, 0)",89.91462113127001,98.13695871097684,98.97159647404506,98.48714069591529,99.95271867612293
"(2, 3, 4, 0, 1)",94.66382070437567,97.73413897280967,97.93242561775088,99.52718676122932,99.70617042115573
"(2, 3, 4, 1, 0)",92.20917822838847,98.84189325276938,97.73071104387292,99.21645445641528,99.90543735224587
"(2, 4, 0, 1, 3)",93.38313767342582,96.67170953101362,99.19621749408984,97.94319294809011,99.8992950654582
"(2, 4, 0, 3, 1)",95.83778014941302,96.7221381744831,99.38534278959811,98.5901309164149,99.75514201762978
"(2, 4, 1, 0, 3)",93.22305229455709,95.56227937468482,97.74730656219393,99.66903073286052,99.69788519637463
"(2, 4, 1, 3, 0)",91.83564567769477,96.41956631366617,98.67776689520079,99.44612286002014,99.90543735224587
"(2, 4, 3, 0, 1)",95.78441835645678,95.7135653050933,97.98590130916415,99.33806146572104,99.75514201762978
"(2, 4, 3, 1, 0)",94.23692636072572,96.31870902672718,99.04330312185297,98.97159647404506,99.95271867612293
"(3, 0, 1, 2, 4)",95.9718026183283,97.39952718676123,98.28599412340843,96.85165421558165,99.69742813918306
"(3, 0, 1, 4, 2)",90.83585095669687,97.82505910165484,99.16748285994123,96.11699445284921,99.83991462113127
"(3, 0, 2, 1, 4)",95.7703927492447,97.30496453900709,94.07684098185699,99.16748285994123,99.4957135653051
"(3, 0, 2, 4, 1)",96.27391742195367,98.91252955082743,97.33191035218783,98.03328290468987,99.80411361410383
"(3, 0, 4, 1, 2)",91.28902316213494,97.58865248226951,92.58698940998487,99.65719882468169,99.94663820704376
"(3, 0, 4, 2, 1)",94.5619335347432,97.68321513002364,94.6041351487645,99.57310565635005,99.80411361410383
"(3, 1, 0, 2, 4)",95.41792547834844,97.01273261508325,98.2033096926714,95.73105656350053,99.64699949571356
"(3, 1, 0, 4, 2)",93.00100704934542,99.0205680705191,98.2033096926714,96.46999495713565,99.94663820704376
"(3, 1, 2, 0, 4)",97.2809667673716,97.20861900097943,93.81003201707577,98.67612293144208,99.64699949571356
"(3, 1, 2, 4, 0)",97.02920443101712,98.43290891283056,95.78441835645678,98.73928391326274,99.90543735224587
