sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(1, 0, 2, 3, 4)",98.5,96.83333333333333,73.5,87.33333333333333,58.666666666666664,82.96666666666667,121.00866055488586
"(1, 0, 3, 2, 4)",98.5,96.83333333333333,73.5,87.33333333333333,58.666666666666664,82.96666666666667,121.00866055488586
"(2, 1, 0, 3, 4)",93.83333333333333,97.16666666666667,92.33333333333333,81.83333333333333,32.0,79.43333333333332,121.27015471458435
"(2, 1, 3, 0, 4)",93.83333333333333,97.16666666666667,92.33333333333333,81.83333333333333,32.0,79.43333333333332,121.27015471458435
"(1, 2, 0, 3, 4)",93.83333333333333,97.16666666666667,92.33333333333333,81.83333333333333,32.0,79.43333333333332,121.27015471458435
"(1, 2, 3, 0, 4)",93.83333333333333,97.16666666666667,92.33333333333333,81.83333333333333,32.0,79.43333333333332,121.27015471458435
"(0, 3, 4, 1, 2)",99.33333333333333,98.66666666666667,75.5,74.33333333333333,35.666666666666664,76.7,119.9739670753479
"(0, 3, 1, 4, 2)",99.33333333333333,98.66666666666667,75.5,74.33333333333333,35.666666666666664,76.7,119.9739670753479
"(3, 0, 4, 1, 2)",99.33333333333333,98.66666666666667,75.5,74.33333333333333,35.666666666666664,76.7,119.9739670753479
"(3, 0, 1, 4, 2)",99.33333333333333,98.66666666666667,75.5,74.33333333333333,35.666666666666664,76.7,119.9739670753479
"(4, 2, 0, 1, 3)",90.33333333333333,83.83333333333333,48.5,70.83333333333333,67.0,72.1,120.71967387199402
"(4, 2, 1, 0, 3)",90.33333333333333,83.83333333333333,48.5,70.83333333333333,67.0,72.1,120.71967387199402
"(2, 4, 0, 1, 3)",90.33333333333333,83.83333333333333,48.5,70.83333333333333,67.0,72.1,120.71967387199402
"(2, 4, 1, 0, 3)",90.33333333333333,83.83333333333333,48.5,70.83333333333333,67.0,72.1,120.71967387199402
"(3, 0, 2, 1, 4)",99.0,99.0,48.5,74.16666666666667,74.0,78.93333333333334,123.51825261116028
"(3, 0, 1, 2, 4)",99.0,99.0,48.5,74.16666666666667,74.0,78.93333333333334,123.51825261116028
"(0, 3, 2, 1, 4)",99.0,99.0,48.5,74.16666666666667,74.0,78.93333333333334,123.51825261116028
"(0, 3, 1, 2, 4)",99.0,99.0,48.5,74.16666666666667,74.0,78.93333333333334,123.51825261116028
"(3, 2, 1, 4, 0)",93.66666666666667,93.5,66.16666666666667,49.333333333333336,65.66666666666667,73.66666666666667,124.23305630683899
"(3, 2, 4, 1, 0)",93.66666666666667,93.5,66.16666666666667,49.333333333333336,65.66666666666667,73.66666666666667,124.23305630683899
"(2, 3, 1, 4, 0)",93.66666666666667,93.5,66.16666666666667,49.333333333333336,65.66666666666667,73.66666666666667,124.23305630683899
"(2, 3, 4, 1, 0)",93.66666666666667,93.5,66.16666666666667,49.333333333333336,65.66666666666667,73.66666666666667,124.23305630683899
"(0, 1, 4, 3, 2)",96.83333333333333,95.83333333333333,60.333333333333336,84.0,59.333333333333336,79.26666666666667,122.03543615341187
"(0, 1, 3, 4, 2)",96.83333333333333,95.83333333333333,60.333333333333336,84.0,59.333333333333336,79.26666666666667,122.03543615341187
"(1, 0, 4, 3, 2)",96.83333333333333,95.83333333333333,60.333333333333336,84.0,59.333333333333336,79.26666666666667,122.03543615341187
"(1, 0, 3, 4, 2)",96.83333333333333,95.83333333333333,60.333333333333336,84.0,59.333333333333336,79.26666666666667,122.03543615341187
"(2, 0, 3, 1, 4)",98.83333333333333,85.16666666666667,68.16666666666667,66.66666666666667,21.0,67.96666666666667,123.33992719650269
"(2, 0, 1, 3, 4)",98.83333333333333,85.16666666666667,68.16666666666667,66.66666666666667,21.0,67.96666666666667,123.33992719650269
"(0, 2, 3, 1, 4)",98.83333333333333,85.16666666666667,68.16666666666667,66.66666666666667,21.0,67.96666666666667,123.33992719650269
