sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 2, 3, 1, 4)",98.33333333333333,99.16666666666667,78.33333333333333,76.33333333333333,25.166666666666668,75.46666666666667,96.64405703544617
"(0, 2, 1, 3, 4)",98.33333333333333,99.16666666666667,78.33333333333333,76.33333333333333,25.166666666666668,75.46666666666667,96.64405703544617
"(3, 4, 2, 1, 0)",98.33333333333333,94.0,42.5,69.66666666666667,80.83333333333333,77.06666666666666,95.82220339775085
"(3, 4, 1, 2, 0)",98.33333333333333,94.0,42.5,69.66666666666667,80.83333333333333,77.06666666666666,95.82220339775085
"(4, 3, 2, 1, 0)",98.33333333333333,94.0,42.5,69.66666666666667,80.83333333333333,77.06666666666666,95.82220339775085
"(4, 3, 1, 2, 0)",98.33333333333333,94.0,42.5,69.66666666666667,80.83333333333333,77.06666666666666,95.82220339775085
"(1, 4, 2, 3, 0)",93.66666666666667,93.16666666666667,42.5,90.0,49.0,73.66666666666667,95.91193675994873
"(1, 4, 3, 2, 0)",93.66666666666667,93.16666666666667,42.5,90.0,49.0,73.66666666666667,95.91193675994873
"(4, 1, 2, 3, 0)",93.66666666666667,93.16666666666667,42.5,90.0,49.0,73.66666666666667,95.91193675994873
"(4, 1, 3, 2, 0)",93.66666666666667,93.16666666666667,42.5,90.0,49.0,73.66666666666667,95.91193675994873
"(4, 0, 2, 3, 1)",95.0,98.5,40.333333333333336,93.83333333333333,67.66666666666667,79.06666666666668,96.28752779960632
"(4, 0, 3, 2, 1)",95.0,98.5,40.333333333333336,93.83333333333333,67.66666666666667,79.06666666666668,96.28752779960632
"(0, 4, 2, 3, 1)",95.0,98.5,40.333333333333336,93.83333333333333,67.66666666666667,79.06666666666668,96.28752779960632
"(0, 4, 3, 2, 1)",95.0,98.5,40.333333333333336,93.83333333333333,67.66666666666667,79.06666666666668,96.28752779960632
