sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 1, 3, 4, 2)",60.833333333333336,91.5,94.0,83.33333333333333,69.0,79.73333333333333,25.325233936309814
"(1, 0, 4, 3, 2)",65.0,92.5,88.5,92.66666666666667,78.66666666666667,83.46666666666667,25.266753435134888
"(1, 0, 3, 4, 2)",56.333333333333336,82.83333333333333,91.16666666666667,82.33333333333333,71.66666666666667,76.86666666666666,25.42103147506714
"(2, 0, 3, 1, 4)",86.66666666666667,95.33333333333333,63.666666666666664,91.0,81.66666666666667,83.66666666666666,25.253180503845215
"(2, 0, 1, 3, 4)",93.16666666666667,95.0,87.0,98.16666666666667,93.33333333333333,93.33333333333334,25.321452379226685
"(0, 2, 3, 1, 4)",73.5,90.66666666666667,82.66666666666667,91.16666666666667,87.33333333333333,85.06666666666668,25.37427806854248
"(0, 2, 1, 3, 4)",60.5,93.16666666666667,76.66666666666667,94.66666666666667,84.5,81.9,25.474238634109497
"(3, 4, 2, 1, 0)",98.0,95.33333333333333,84.83333333333333,86.83333333333333,59.166666666666664,84.83333333333333,25.45253586769104
"(3, 4, 1, 2, 0)",99.33333333333333,87.0,85.5,95.16666666666667,89.0,91.2,25.44724941253662
"(4, 3, 2, 1, 0)",97.0,95.5,77.83333333333333,90.16666666666667,75.66666666666667,87.23333333333333,25.509904623031616
"(4, 3, 1, 2, 0)",98.16666666666667,90.66666666666667,84.33333333333333,90.5,67.5,86.23333333333333,25.32194495201111
"(1, 4, 2, 3, 0)",98.83333333333333,90.16666666666667,73.66666666666667,97.33333333333333,86.16666666666667,89.23333333333333,25.391839504241943
"(1, 4, 3, 2, 0)",98.0,89.0,75.66666666666667,85.16666666666667,64.83333333333333,82.53333333333333,25.514707803726196
"(4, 1, 2, 3, 0)",97.16666666666667,93.33333333333333,74.16666666666667,94.33333333333333,88.0,89.4,25.5272216796875
"(4, 1, 3, 2, 0)",90.33333333333333,89.5,90.16666666666667,92.83333333333333,64.5,85.46666666666667,25.377886056900024
"(4, 0, 2, 3, 1)",85.16666666666667,85.66666666666667,82.16666666666667,93.0,64.5,82.1,25.395018100738525
"(4, 0, 3, 2, 1)",72.33333333333333,91.5,85.5,93.0,80.16666666666667,84.5,25.38852024078369
"(0, 4, 2, 3, 1)",79.16666666666667,94.83333333333333,79.33333333333333,95.83333333333333,77.33333333333333,85.29999999999998,25.36455535888672
"(0, 4, 3, 2, 1)",86.5,95.5,88.66666666666667,87.83333333333333,71.16666666666667,85.93333333333334,25.38252592086792
